[2025-12-09 10:00:54.617] [ml-detector] [info] [DUAL-SCORE] event=12251543905380_254, fast=0.0000, ml=0.0633, final=0.0633, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.0633
[2025-12-09 10:00:54.620] [ml-detector] [info] [DUAL-SCORE] event=12255449394957_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:00:54.621] [ml-detector] [info] [DUAL-SCORE] event=12255449720358_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:01:04.652] [ml-detector] [info] [DUAL-SCORE] event=12260461924851_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:01:04.653] [ml-detector] [info] [DUAL-SCORE] event=12260462136821_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:01:04.656] [ml-detector] [info] [DUAL-SCORE] event=12265475038862_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:01:04.657] [ml-detector] [info] [DUAL-SCORE] event=12265475154766_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:01:07.266] [ml-detector] [info] [DUAL-SCORE] event=ransomware-features-1765274467261940101, fast=0.7000, ml=0.1454, final=0.7000, source=DETECTOR_SOURCE_DIVERGENCE, div=0.5546
[2025-12-09 10:01:19.677] [ml-detector] [info] [DUAL-SCORE] event=12270489068923_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:01:19.679] [ml-detector] [info] [DUAL-SCORE] event=12270489197522_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:01:19.682] [ml-detector] [info] [DUAL-SCORE] event=12275501703662_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:01:19.683] [ml-detector] [info] [DUAL-SCORE] event=12280514397548_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:01:34.714] [ml-detector] [info] [DUAL-SCORE] event=12281545269649_254, fast=0.0000, ml=0.0633, final=0.0633, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.0633
[2025-12-09 10:01:34.720] [ml-detector] [info] [DUAL-SCORE] event=12285528753808_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:01:34.723] [ml-detector] [info] [DUAL-SCORE] event=12290540763236_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:01:34.725] [ml-detector] [info] [DUAL-SCORE] event=12295554035321_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:01:37.276] [ml-detector] [info] [DUAL-SCORE] event=ransomware-features-1765274497265236996, fast=0.7000, ml=0.1454, final=0.7000, source=DETECTOR_SOURCE_DIVERGENCE, div=0.5546
[2025-12-09 10:01:44.752] [ml-detector] [info] [DUAL-SCORE] event=12295554251214_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:01:44.753] [ml-detector] [info] [DUAL-SCORE] event=12300567791438_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:01:44.754] [ml-detector] [info] [DUAL-SCORE] event=12300568047580_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:01:44.755] [ml-detector] [info] [DUAL-SCORE] event=12305580199829_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:01:50.707] [ml-detector] [info] [DUAL-SCORE] event=12305580514472_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:01:50.708] [ml-detector] [info] [DUAL-SCORE] event=12310593812301_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:01:50.709] [ml-detector] [info] [DUAL-SCORE] event=12310594099866_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:01:50.710] [ml-detector] [info] [DUAL-SCORE] event=12311546245565_254, fast=0.0000, ml=0.0633, final=0.0633, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.0633
[2025-12-09 10:02:07.275] [ml-detector] [info] [DUAL-SCORE] event=ransomware-features-1765274527267129680, fast=0.7000, ml=0.1454, final=0.7000, source=DETECTOR_SOURCE_DIVERGENCE, div=0.5546
[2025-12-09 10:02:09.820] [ml-detector] [info] [DUAL-SCORE] event=12315606687398_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:02:09.821] [ml-detector] [info] [DUAL-SCORE] event=12320620337513_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:02:09.823] [ml-detector] [info] [DUAL-SCORE] event=12325632699235_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:02:09.825] [ml-detector] [info] [DUAL-SCORE] event=12330646151571_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:02:17.822] [ml-detector] [info] [DUAL-SCORE] event=12335659367113_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:02:17.824] [ml-detector] [info] [DUAL-SCORE] event=12335659590853_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:02:17.824] [ml-detector] [info] [DUAL-SCORE] event=12338659724563_547895546, fast=0.0000, ml=0.0716, final=0.0716, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.0716
[2025-12-09 10:02:17.825] [ml-detector] [info] [DUAL-SCORE] event=12338660165472_547895546, fast=0.0000, ml=0.1189, final=0.1189, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.1189
