timestamp,sniffer_rss,sniffer_vsz,detector_rss,detector_vsz,system_free,system_available
2025-10-26 08:53:15.4,5625.9,79688.139,281.447,492.7303,7360,
2025-10-26 08:53:20.4,5625.9,79688.139,281.447,492.7303,7360,
2025-10-26 08:53:25.4,5625.9,79688.139,281.447,492.7305,7362,
2025-10-26 08:53:31.4,5625.9,79688.139,281.447,492.7305,7362,
2025-10-26 08:53:36.4,5625.9,79688.139,281.447,492.7304,7361,
2025-10-26 08:53:41.4,5625.9,79688.139,281.447,492.7302,7359,
2025-10-26 08:53:46.4,5625.9,79688.139,281.447,492.7298,7356,
2025-10-26 08:53:52.4,5625.9,79688.139,281.447,492.7304,7369,
2025-10-26 08:53:57.4,5625.9,79688.139,281.447,492.7312,7369,
2025-10-26 08:54:02.4,5625.9,79688.139,281.447,492.7309,7366,
2025-10-26 08:54:07.4,5625.9,79688.139,281.447,492.7309,7373,
2025-10-26 08:54:13.4,5625.9,79688.139,281.447,492.7314,7371,
2025-10-26 08:54:18.4,5625.9,79688.139,281.447,492.7306,7364,
2025-10-26 08:54:23.4,5625.9,79688.139,281.447,492.7306,7363,
2025-10-26 08:54:28.4,5625.9,79688.139,281.447,492.7313,7370,
2025-10-26 08:54:34.4,5625.9,79688.139,281.447,492.7312,7369,
2025-10-26 08:54:39.4,5625.9,79688.139,281.447,492.7310,7367,
2025-10-26 08:54:44.4,5625.9,79688.139,281.447,492.7307,7364,
2025-10-26 08:54:50.4,5625.9,79688.139,281.447,492.7306,7364,
2025-10-26 08:54:55.4,5625.9,79688.139,281.447,492.7305,7363,
2025-10-26 08:55:00.4,5625.9,79688.139,281.447,492.7310,7368,
2025-10-26 08:55:05.4,5625.9,79688.139,281.447,492.7309,7367,
2025-10-26 08:55:11.4,5625.9,79688.139,281.447,492.7305,7363,
2025-10-26 08:55:16.4,5625.9,79688.139,281.447,492.7303,7361,
2025-10-26 08:55:21.4,5625.9,79688.139,281.447,492.7303,7361,
2025-10-26 08:55:27.4,5625.9,79688.139,281.447,492.7286,7351,
2025-10-26 08:55:32.4,5625.9,79688.139,281.447,492.7311,7369,
2025-10-26 08:55:37.4,5625.9,79688.139,281.447,492.7304,7362,
2025-10-26 08:55:43.4,5625.9,79688.139,281.447,492.7303,7368,
2025-10-26 08:55:48.4,5625.9,79688.139,281.447,492.7305,7364,
2025-10-26 08:55:53.4,5625.9,79688.139,281.447,492.7303,7362,
2025-10-26 08:55:58.4,5625.9,79688.139,281.447,492.7303,7362,
2025-10-26 08:56:04.4,5625.9,79688.139,281.447,492.7310,7368,
2025-10-26 08:56:09.4,5625.9,79688.139,281.447,492.7309,7367,
2025-10-26 08:56:14.4,5625.9,79688.139,281.447,492.7306,7365,
2025-10-26 08:56:20.4,5625.9,79688.139,281.447,492.7309,7367,
2025-10-26 08:56:25.4,5625.9,79688.139,281.447,492.7306,7365,
2025-10-26 08:56:30.4,5625.9,79688.139,281.447,492.7312,7371,
2025-10-26 08:56:35.4,5625.9,79688.139,281.447,492.7312,7370,
2025-10-26 08:56:41.4,5625.9,79688.139,281.447,492.7302,7360,
2025-10-26 08:56:46.4,5625.9,79688.139,281.447,492.7300,7358,
2025-10-26 08:56:51.4,5625.9,79688.139,281.447,492.7305,7364,
2025-10-26 08:56:57.4,5625.9,79688.139,281.447,492.7303,7362,
2025-10-26 08:57:02.4,5625.9,79688.139,281.447,492.7307,7366,
2025-10-26 08:57:07.4,5625.9,79688.139,281.447,492.7306,7365,
2025-10-26 08:57:12.4,5625.9,79688.139,281.447,492.7304,7362,
2025-10-26 08:57:18.4,5625.9,79688.139,281.447,492.7308,7367,
2025-10-26 08:57:23.4,5625.9,79688.139,281.447,492.7301,7360,
2025-10-26 08:57:28.4,5625.9,79688.139,281.447,492.7301,7360,
2025-10-26 08:57:33.4,5625.9,79688.139,281.447,492.7296,7355,
2025-10-26 08:57:39.4,5625.9,79688.139,281.447,492.7296,7355,
2025-10-26 08:57:44.4,5625.9,79688.139,281.447,492.7308,7367,
2025-10-26 08:57:49.4,5625.9,79688.139,281.447,492.7307,7366,
2025-10-26 08:57:54.4,5625.9,79688.139,281.447,492.7306,7365,
2025-10-26 08:58:00.4,5625.9,79688.139,281.447,492.7302,7361,
2025-10-26 08:58:05.4,5625.9,79688.139,281.447,492.7296,7355,
2025-10-26 08:58:10.4,5625.9,79688.139,281.447,492.7296,7355,
2025-10-26 08:58:16.4,5625.9,79688.139,281.447,492.7313,7372,
2025-10-26 08:58:21.4,5625.9,79688.139,281.447,492.7301,7360,
2025-10-26 08:58:26.4,5625.9,79688.139,281.447,492.7301,7360,
2025-10-26 08:58:32.4,5625.9,79688.139,281.447,492.7305,7364,
2025-10-26 08:58:37.4,5625.9,79688.139,281.447,492.7304,7363,
2025-10-26 08:58:42.4,5625.9,79688.139,281.447,492.7299,7358,
2025-10-26 08:58:47.4,5625.9,79688.139,281.447,492.7303,7363,
2025-10-26 08:58:53.4,5625.9,79688.139,281.447,492.7297,7356,
2025-10-26 08:58:58.4,5625.9,79688.139,281.447,492.7295,7355,
2025-10-26 08:59:03.4,5625.9,79688.139,281.447,492.7315,7374,
2025-10-26 08:59:08.4,5625.9,79688.139,281.447,492.7312,7372,
2025-10-26 08:59:14.4,5625.9,79688.139,281.447,492.7309,7369,
2025-10-26 08:59:19.4,5625.9,79688.139,281.447,492.7310,7370,
2025-10-26 08:59:24.4,5625.9,79688.139,281.447,492.7299,7358,
2025-10-26 08:59:30.4,5625.9,79688.139,281.447,492.7304,7364,
2025-10-26 08:59:35.4,5625.9,79688.139,281.447,492.7300,7360,
2025-10-26 08:59:40.4,5625.9,79688.139,281.447,492.7307,7367,
2025-10-26 08:59:45.4,5625.9,79688.139,281.447,492.7306,7366,
2025-10-26 08:59:51.4,5625.9,79688.139,281.447,492.7305,7365,
2025-10-26 08:59:56.4,5625.9,79688.139,281.447,492.7302,7362,
2025-10-26 09:00:01.4,5625.9,79688.139,281.447,492.7308,7368,
2025-10-26 09:00:07.4,5625.9,79688.139,281.447,492.7308,7368,
2025-10-26 09:00:12.4,5625.9,79688.139,281.447,492.7306,7366,
2025-10-26 09:00:17.4,5625.9,79688.139,281.447,492.7300,7360,
2025-10-26 09:00:22.4,5625.9,79688.139,281.447,492.7299,7359,
2025-10-26 09:00:28.4,5625.9,79688.139,281.447,492.7302,7362,
2025-10-26 09:00:33.4,5625.9,79688.139,281.447,492.7301,7361,
2025-10-26 09:00:38.4,5625.9,79688.139,281.447,492.7307,7367,
2025-10-26 09:00:43.4,5625.9,79688.139,281.447,492.7305,7365,
2025-10-26 09:00:49.4,5625.9,79688.139,281.447,492.7302,7362,
2025-10-26 09:00:54.4,5625.9,79688.139,281.447,492.7301,7362,
2025-10-26 09:00:59.4,5625.9,79688.139,281.447,492.7305,7365,
2025-10-26 09:01:04.4,5625.9,79688.139,281.447,492.7305,7365,
2025-10-26 09:01:10.4,5625.9,79688.139,281.447,492.7304,7364,
2025-10-26 09:01:15.4,5625.9,79688.139,281.447,492.7315,7376,
2025-10-26 09:01:20.4,5625.9,79688.139,281.447,492.7312,7373,
2025-10-26 09:01:25.4,5625.9,79688.139,281.447,492.7303,7364,
2025-10-26 09:01:31.4,5625.9,79688.139,281.447,492.7308,7368,
2025-10-26 09:01:36.4,5625.9,79688.139,281.447,492.7297,7357,
2025-10-26 09:01:41.4,5625.9,79688.139,281.447,492.7296,7357,
2025-10-26 09:01:46.4,5625.9,79688.139,281.447,492.7303,7364,
2025-10-26 09:01:52.4,5625.9,79688.139,281.447,492.7302,7363,
2025-10-26 09:01:57.4,5625.9,79688.139,281.447,492.7305,7366,
2025-10-26 09:02:02.4,5625.9,79688.139,281.447,492.7303,7364,
2025-10-26 09:02:08.4,5625.9,79688.139,281.447,492.7306,7367,
2025-10-26 09:02:13.4,5625.9,79688.139,281.447,492.7305,7366,
2025-10-26 09:02:18.4,5625.9,79688.139,281.447,492.7308,7368,
2025-10-26 09:02:23.4,5625.9,79688.139,281.447,492.7305,7366,
2025-10-26 09:02:29.4,5625.9,79688.139,281.447,492.7302,7363,
2025-10-26 09:02:34.4,5625.9,79688.139,281.447,492.7301,7362,
2025-10-26 09:02:39.4,5625.9,79688.139,281.447,492.7297,7358,
2025-10-26 09:02:44.4,5625.9,79688.139,281.447,492.7297,7358,
2025-10-26 09:02:50.4,5625.9,79688.139,281.447,492.7306,7367,
2025-10-26 09:02:55.4,5625.9,79688.139,281.447,492.7306,7367,
2025-10-26 09:03:00.4,5625.9,79688.139,281.447,492.7300,7361,
2025-10-26 09:03:06.4,5625.9,79688.139,281.447,492.7298,7359,
2025-10-26 09:03:11.4,5625.9,79688.139,281.447,492.7302,7363,
2025-10-26 09:03:16.4,5625.9,79688.139,281.447,492.7301,7362,
2025-10-26 09:03:21.4,5625.9,79688.139,281.447,492.7301,7362,
2025-10-26 09:03:27.4,5625.9,79688.139,281.447,492.7300,7362,
2025-10-26 09:03:32.4,5625.9,79688.139,281.447,492.7308,7370,
2025-10-26 09:03:37.4,5625.9,79688.139,281.447,492.7304,7365,
2025-10-26 09:03:43.4,5625.9,79688.139,281.447,492.7301,7362,
2025-10-26 09:03:48.4,5625.9,79688.139,281.447,492.7306,7367,
2025-10-26 09:03:53.4,5625.9,79688.139,281.447,492.7305,7367,
2025-10-26 09:03:58.4,5625.9,79688.139,281.447,492.7301,7363,
2025-10-26 09:04:04.4,5625.9,79688.139,281.447,492.7299,7360,
2025-10-26 09:04:09.4,5625.9,79688.139,281.447,492.7292,7354,
2025-10-26 09:04:14.4,5625.9,79688.139,281.447,492.7291,7353,
2025-10-26 09:04:19.4,5625.9,79688.139,281.447,492.7301,7362,
2025-10-26 09:04:25.4,5625.9,79688.139,281.447,492.7299,7360,
2025-10-26 09:04:30.4,5625.9,79688.139,281.447,492.7301,7363,
2025-10-26 09:04:35.4,5625.9,79688.139,281.447,492.7303,7364,
2025-10-26 09:04:41.4,5625.9,79688.139,281.447,492.7299,7360,
2025-10-26 09:04:46.4,5625.9,79688.139,281.447,492.7304,7365,
2025-10-26 09:04:51.4,5625.9,79688.139,281.447,492.7303,7365,
2025-10-26 09:04:56.4,5625.9,79688.139,281.447,492.7303,7365,
2025-10-26 09:05:02.4,5625.9,79688.139,281.447,492.7308,7369,
2025-10-26 09:05:07.4,5625.9,79688.139,281.447,492.7304,7365,
2025-10-26 09:05:12.4,5625.9,79688.139,281.447,492.7294,7356,
2025-10-26 09:05:17.4,5625.9,79688.139,281.447,492.7292,7353,
2025-10-26 09:05:23.4,5625.9,79688.139,281.447,492.7300,7361,
2025-10-26 09:05:28.4,5625.9,79688.139,281.447,492.7299,7360,
2025-10-26 09:05:33.4,5625.9,79688.139,281.447,492.7301,7363,
2025-10-26 09:05:38.4,5625.9,79688.139,281.447,492.7305,7367,
2025-10-26 09:05:44.4,5625.9,79688.139,281.447,492.7301,7363,
2025-10-26 09:05:49.4,5625.9,79688.139,281.447,492.7301,7363,
