timestamp,net_rx_bytes,net_tx_bytes,net_rx_packets,net_tx_packets
2025-10-26 08:53:15.120,196.0,0,,
2025-10-26 08:53:20.240,538.0,0,,
2025-10-26 08:53:25.1070,1598.0,0,,
2025-10-26 08:53:31.1380,1924.0,0,,
2025-10-26 08:53:36.1950,3192.0,0,,
2025-10-26 08:53:41.2070,3372.0,0,,
2025-10-26 08:53:46.3618,4414.0,0,,
2025-10-26 08:53:52.3798,4708.0,0,,
2025-10-26 08:53:57.3978,4994.0,0,,
2025-10-26 08:54:02.4158,5272.0,0,,
2025-10-26 08:54:07.4338,5558.0,0,,
2025-10-26 08:54:13.4728,6094.0,0,,
2025-10-26 08:54:18.5928,7100.0,0,,
2025-10-26 08:54:23.6138,7378.0,0,,
2025-10-26 08:54:28.6318,7664.0,0,,
2025-10-26 08:54:34.6738,8356.0,0,,
2025-10-26 08:54:39.7158,9062.0,0,,
2025-10-26 08:54:44.10324,12750.0,0,,
2025-10-26 08:54:50.10504,13036.0,0,,
2025-10-26 08:54:55.10624,13224.0,0,,
2025-10-26 08:55:00.11884,15222.0,0,,
2025-10-26 08:55:05.12004,15410.0,0,,
2025-10-26 08:55:11.12184,15696.0,0,,
2025-10-26 08:55:16.13384,17576.0,0,,
2025-10-26 08:55:21.13564,17862.0,0,,
2025-10-26 08:55:27.14284,18974.0,0,,
2025-10-26 08:55:32.14824,19836.0,0,,
2025-10-26 08:55:37.15184,20302.0,0,,
2025-10-26 08:55:43.16444,22252.0,0,,
2025-10-26 08:55:48.16624,22538.0,0,,
2025-10-26 08:55:53.16894,22870.0,0,,
2025-10-26 08:55:58.18214,25006.0,0,,
2025-10-26 08:56:04.18334,25194.0,0,,
2025-10-26 08:56:09.18514,25480.0,0,,
2025-10-26 08:56:14.19894,27682.0,0,,
2025-10-26 08:56:20.20374,28434.0,0,,
2025-10-26 08:56:25.20494,28622.0,0,,
2025-10-26 08:56:30.21784,30524.0,0,,
2025-10-26 08:56:35.21904,30712.0,0,,
2025-10-26 08:56:41.22174,31080.0,0,,
2025-10-26 08:56:46.23374,32948.0,0,,
2025-10-26 08:56:51.23554,33234.0,0,,
2025-10-26 08:56:57.23674,33422.0,0,,
2025-10-26 08:57:02.25204,35690.0,0,,
2025-10-26 08:57:07.25324,35878.0,0,,
2025-10-26 08:57:12.25564,36254.0,0,,
2025-10-26 08:57:18.26824,38236.0,0,,
2025-10-26 08:57:23.27004,38522.0,0,,
2025-10-26 08:57:28.27364,39070.0,0,,
2025-10-26 08:57:33.28384,40668.0,0,,
2025-10-26 08:57:39.28504,40856.0,0,,
2025-10-26 08:57:44.30304,43742.0,0,,
2025-10-26 08:57:49.30424,43930.0,0,,
2025-10-26 08:57:54.30604,44208.0,0,,
2025-10-26 08:58:00.31804,46040.0,0,,
2025-10-26 08:58:05.32164,46628.0,0,,
2025-10-26 08:58:10.32284,46816.0,0,,
2025-10-26 08:58:16.34314,49840.0,0,,
2025-10-26 08:58:21.34494,50126.0,0,,
2025-10-26 08:58:26.34614,50314.0,0,,
2025-10-26 08:58:32.35994,52416.0,0,,
2025-10-26 08:58:37.36114,52604.0,0,,
2025-10-26 08:58:42.36384,52980.0,0,,
2025-10-26 08:58:47.38004,55486.0,0,,
2025-10-26 08:58:53.38664,56546.0,0,,
2025-10-26 08:58:58.38784,56734.0,0,,
2025-10-26 08:59:03.40044,58772.0,0,,
2025-10-26 08:59:08.40164,58960.0,0,,
2025-10-26 08:59:14.40464,59442.0,0,,
2025-10-26 08:59:19.41724,61436.0,0,,
2025-10-26 08:59:24.41904,61722.0,0,,
2025-10-26 08:59:30.42264,62306.0,0,,
2025-10-26 08:59:35.43884,64828.0,0,,
2025-10-26 08:59:40.44004,65016.0,0,,
2025-10-26 08:59:45.45864,67870.0,0,,
2025-10-26 08:59:51.46074,68148.0,0,,
2025-10-26 08:59:56.46494,68676.0,0,,
2025-10-26 09:00:01.47694,70532.0,0,,
2025-10-26 09:00:07.47874,70818.0,0,,
2025-10-26 09:00:12.48054,71104.0,0,,
2025-10-26 09:00:17.49374,73124.0,0,,
2025-10-26 09:00:22.49494,73312.0,0,,
2025-10-26 09:00:28.49674,73598.0,0,,
2025-10-26 09:00:33.51054,75772.0,0,,
2025-10-26 09:00:38.51234,76058.0,0,,
2025-10-26 09:00:43.51354,76238.0,0,,
2025-10-26 09:00:49.52944,78618.0,0,,
2025-10-26 09:00:54.53124,78896.0,0,,
2025-10-26 09:00:59.53394,79272.0,0,,
2025-10-26 09:01:04.54774,81382.0,0,,
2025-10-26 09:01:10.54894,81570.0,0,,
2025-10-26 09:01:15.55134,81954.0,0,,
2025-10-26 09:01:20.56214,83606.0,0,,
2025-10-26 09:01:25.56634,84268.0,0,,
2025-10-26 09:01:31.56754,84456.0,0,,
2025-10-26 09:01:36.58014,86402.0,0,,
2025-10-26 09:01:41.58134,86582.0,0,,
2025-10-26 09:01:46.59694,88962.0,0,,
2025-10-26 09:01:52.59814,89150.0,0,,
2025-10-26 09:01:57.59994,89436.0,0,,
2025-10-26 09:02:02.61764,92286.0,0,,
2025-10-26 09:02:08.62034,92662.0,0,,
2025-10-26 09:02:13.62214,92956.0,0,,
2025-10-26 09:02:18.63474,94886.0,0,,
2025-10-26 09:02:23.63594,95074.0,0,,
2025-10-26 09:02:29.63774,95360.0,0,,
2025-10-26 09:02:34.65424,97822.0,0,,
2025-10-26 09:02:39.65604,98108.0,0,,
2025-10-26 09:02:44.65724,98288.0,0,,
2025-10-26 09:02:50.67104,100406.0,0,,
2025-10-26 09:02:55.67224,100594.0,0,,
2025-10-26 09:03:00.67494,100970.0,0,,
2025-10-26 09:03:06.68694,102874.0,0,,
2025-10-26 09:03:11.69474,104158.0,0,,
2025-10-26 09:03:16.69654,104460.0,0,,
2025-10-26 09:03:21.70794,106302.0,0,,
2025-10-26 09:03:27.70914,106490.0,0,,
2025-10-26 09:03:32.71094,106776.0,0,,
2025-10-26 09:03:37.72444,108750.0,0,,
2025-10-26 09:03:43.72624,109036.0,0,,
2025-10-26 09:03:48.73104,109800.0,0,,
2025-10-26 09:03:53.74304,111732.0,0,,
2025-10-26 09:03:58.74574,112064.0,0,,
2025-10-26 09:04:04.76074,114434.0,0,,
2025-10-26 09:04:09.76344,114810.0,0,,
2025-10-26 09:04:14.76674,115268.0,0,,
2025-10-26 09:04:19.78354,117892.0,0,,
2025-10-26 09:04:25.78594,118508.0,0,,
2025-10-26 09:04:30.78774,118794.0,0,,
2025-10-26 09:04:35.79974,120802.0,0,,
2025-10-26 09:04:41.80154,121096.0,0,,
2025-10-26 09:04:46.80274,121284.0,0,,
2025-10-26 09:04:51.82074,124068.0,0,,
2025-10-26 09:04:56.82254,124346.0,0,,
2025-10-26 09:05:02.82434,124632.0,0,,
2025-10-26 09:05:07.83694,126642.0,0,,
2025-10-26 09:05:12.84084,127162.0,0,,
2025-10-26 09:05:17.84294,127432.0,0,,
2025-10-26 09:05:23.85674,129650.0,0,,
2025-10-26 09:05:28.85794,129838.0,0,,
2025-10-26 09:05:33.85974,130124.0,0,,
2025-10-26 09:05:38.87414,132416.0,0,,
2025-10-26 09:05:44.87594,132702.0,0,,
2025-10-26 09:05:49.87714,132890.0,0,,
2025-10-26 09:05:54.89154,135190.0,0,,
2025-10-26 09:05:59.89334,135468.0,0,,
2025-10-26 09:06:05.90534,137404.0,0,,
2025-10-26 09:06:10.90654,137592.0,0,,
2025-10-26 09:06:15.90954,138066.0,0,,
2025-10-26 09:06:21.92784,141042.0,0,,
2025-10-26 09:06:26.93204,141562.0,0,,
2025-10-26 09:06:31.93324,141750.0,0,,
2025-10-26 09:06:36.95004,144350.0,0,,
2025-10-26 09:06:42.95124,144538.0,0,,
2025-10-26 09:06:47.95304,144824.0,0,,
2025-10-26 09:06:52.96504,146664.0,0,,
2025-10-26 09:06:58.96684,146950.0,0,,
2025-10-26 09:07:03.96804,147138.0,0,,
2025-10-26 09:07:08.98244,149346.0,0,,
2025-10-26 09:07:14.98484,149738.0,0,,
2025-10-26 09:07:19.98604,149926.0,0,,
2025-10-26 09:07:24.100104,152216.0,0,,
2025-10-26 09:07:30.100314,152494.0,0,,
2025-10-26 09:07:35.100494,152780.0,0,,
2025-10-26 09:07:40.101814,154872.0,0,,
2025-10-26 09:07:45.101994,155158.0,0,,
2025-10-26 09:07:51.102224,155346.0,0,,
2025-10-26 09:07:56.103604,157492.0,0,,
2025-10-26 09:08:01.103724,157680.0,0,,
2025-10-26 09:08:06.105434,160258.0,0,,
2025-10-26 09:08:12.105554,160446.0,0,,
2025-10-26 09:08:17.106034,161206.0,0,,
2025-10-26 09:08:22.107444,163272.0,0,,
2025-10-26 09:08:27.107624,163558.0,0,,
2025-10-26 09:08:33.107834,163836.0,0,,
2025-10-26 09:08:38.109094,165822.0,0,,
2025-10-26 09:08:43.109214,166002.0,0,,
2025-10-26 09:08:48.109394,166288.0,0,,
2025-10-26 09:08:54.110774,168534.0,0,,
2025-10-26 09:08:59.110954,168820.0,0,,
2025-10-26 09:09:04.111074,169008.0,0,,
2025-10-26 09:09:10.112694,171558.0,0,,
2025-10-26 09:09:15.112874,171844.0,0,,
2025-10-26 09:09:20.113054,172130.0,0,,
2025-10-26 09:09:25.114434,174252.0,0,,
