timestamp,sniffer_cpu,sniffer_mem_mb,detector_cpu,detector_mem_mb,system_cpu,system_mem_pct
2025-10-26 08:59:35,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 08:59:40,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 08:59:45,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 08:59:51,0.0,4.5625,6.6,139.281,33.3,7.2
2025-10-26 08:59:56,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:00:01,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:00:07,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:00:12,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:00:17,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:00:22,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:00:28,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:00:33,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:00:38,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:00:43,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:00:49,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:00:54,0.0,4.5625,6.6,139.281,33.3,7.3
2025-10-26 09:00:59,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:01:04,0.0,4.5625,6.6,139.281,50.0,7.3
2025-10-26 09:01:10,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:01:15,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:01:20,0.0,4.5625,6.6,139.281,0.0,7.1
2025-10-26 09:01:25,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:01:31,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:01:36,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:01:41,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:01:46,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:01:52,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:01:57,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:02:02,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:02:08,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:02:13,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:02:18,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:02:23,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:02:29,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:02:34,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:02:39,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:02:44,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:02:50,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:02:55,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:03:00,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:03:06,0.0,4.5625,6.6,139.281,33.3,7.3
2025-10-26 09:03:11,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:03:16,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:03:21,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:03:27,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:03:32,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:03:37,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:03:43,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:03:48,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:03:53,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:03:58,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:04:04,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:04:09,0.0,4.5625,6.6,139.281,50.0,7.4
2025-10-26 09:04:14,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:04:19,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:04:25,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:04:30,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:04:35,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:04:41,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:04:46,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:04:51,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:04:56,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:05:02,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:05:07,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:05:12,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:05:17,0.0,4.5625,6.6,139.281,0.0,7.4
2025-10-26 09:05:23,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:05:28,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:05:33,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:05:38,0.0,4.5625,6.6,139.281,0.0,7.2
2025-10-26 09:05:44,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:05:49,0.0,4.5625,6.6,139.281,33.3,7.3
2025-10-26 09:05:54,0.0,4.5625,6.6,139.281,0.0,7.3
2025-10-26 09:05:59,0.0,4.5625,6.5,139.281,0.0,7.4
2025-10-26 09:06:05,0.0,4.5625,6.5,139.281,0.0,7.4
2025-10-26 09:06:10,0.0,4.5625,6.5,139.281,0.0,7.5
2025-10-26 09:06:15,0.0,4.5625,6.5,139.281,33.3,7.3
2025-10-26 09:06:21,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:06:26,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:06:31,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:06:36,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:06:42,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:06:47,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:06:52,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:06:58,0.0,4.5625,6.5,139.281,50.0,7.2
2025-10-26 09:07:03,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:07:08,0.0,4.5625,6.5,139.281,33.3,7.3
2025-10-26 09:07:14,0.0,4.5625,6.5,139.281,0.0,7.4
2025-10-26 09:07:19,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:07:24,0.0,4.5625,6.5,139.281,0.0,7.4
2025-10-26 09:07:30,0.0,4.5625,6.5,139.281,0.0,7.4
2025-10-26 09:07:35,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:07:40,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:07:45,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:07:51,0.0,4.5625,6.5,139.281,0.0,7.1
2025-10-26 09:07:56,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:08:01,0.0,4.5625,6.5,139.281,33.3,7.3
2025-10-26 09:08:06,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:08:12,0.0,4.5625,6.5,139.281,50.0,7.2
2025-10-26 09:08:17,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:08:22,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:08:27,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:08:33,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:08:38,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:08:43,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:08:48,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:08:54,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:08:59,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:09:04,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:09:10,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:09:15,0.0,4.5625,6.5,139.281,33.3,7.3
2025-10-26 09:09:20,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:09:25,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:09:31,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:09:36,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:09:41,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:09:46,0.0,4.5625,6.5,139.281,50.0,7.3
2025-10-26 09:09:52,0.0,4.5625,6.5,139.281,20.0,7.2
2025-10-26 09:09:57,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:10:02,0.0,4.5625,6.5,139.281,0.0,7.4
2025-10-26 09:10:08,0.0,4.5625,6.5,139.281,0.0,7.4
2025-10-26 09:10:13,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:10:18,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:10:23,0.0,4.5625,6.5,139.281,33.3,7.2
2025-10-26 09:10:29,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:10:34,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:10:39,0.0,4.5625,6.5,139.281,us.,7.2
2025-10-26 09:10:45,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:10:50,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:10:55,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:11:00,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:11:06,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:11:11,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:11:16,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:11:21,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:11:27,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:11:32,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:11:37,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:11:43,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:11:48,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:11:53,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:11:58,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:12:04,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:12:09,0.0,4.5625,6.5,139.281,0.0,7.1
2025-10-26 09:12:14,0.0,4.5625,6.5,139.281,33.3,7.2
2025-10-26 09:12:20,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:12:28,0.0,4.5625,6.5,139.281,21.4,7.3
2025-10-26 09:12:35,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:12:40,0.0,4.5625,6.5,139.281,0.0,7.2
2025-10-26 09:12:45,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:12:51,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:12:56,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:13:01,0.0,4.5625,6.5,139.281,0.0,7.3
2025-10-26 09:13:07,0.0,4.5625,6.5,139.281,0.0,7.3
