replay_id,date,day,branch,pcap_file,threshold_ddos,threshold_ransomware,threshold_traffic,threshold_internal,total_events,benign_events,attack_events,TP,FP,FN,TN,F1,Precision,Recall,FPR,notes
UNKNOWN_DAY79,2026-03-07,79,feature/ring-consumer-real-features,neris_ctu13,0.70,0.75,0.70,0.0000000065,6810,134,UNKNOWN,UNKNOWN,106,0,UNKNOWN,0.9921,0.9844,1.0000,UNKNOWN,"ASTERISK: replay_id desconocido. Total eventos y benignos distintos a DAY80 — FPR no comparable. Thresholds hardcodeados en ring_consumer.cpp"
UNKNOWN_DAY80,2026-03-09,80,feature/ring-consumer-real-features,neris_ctu13,0.85,0.90,0.80,0.85,6035,95,UNKNOWN,UNKNOWN,79,0,UNKNOWN,0.9934,0.9869,1.0000,UNKNOWN,"ASTERISK: replay_id desconocido. Total eventos y benignos distintos a DAY79 — FPR no comparable. Thresholds desde JSON (Phase1-Day4-CRITICAL cerrado)"
DAY81_thresholds_085090,2026-03-10,81,feature/ring-consumer-real-features,botnet-capture-20110810-neris.pcap,0.85,0.90,0.80,0.85,9594,9163,431,431,0,0,9163,1.0000,1.0000,1.0000,0.0000,First clean replay. Ground truth: 147.32.84.165 only (.191/.192 absent from PCAP). FN=0 is upper bound.
DAY82-001,2026-03-11,CTU-13 smallFlows,prod_json,0.85,0.90,0.80,0.85,14261,1209,392,0,3741,0,0.3818,FP_ONLY,Fast Detector 3741 FPs en tráfico benigno Windows. IP botnet 147.32.84.165 ausente. ML correcto (attacks=0). Bug DEBT-FD-001 identificado: THRESHOLD_EXTERNAL_IPS=10 hardcodeado viola JSON-is-the-law.
DAY82-002,2026-03-11,CTU-13 bigFlows,prod_json,0.85,0.90,0.80,0.85,791615,40467,15190,2,31065,0.6897,FP_UNKNOWN,7x label=1 (RF vote). 2x attacks_detected (conf>=0.65). Fast Detector 31065 alertas. IPs 172.16.133.x no en binetflow Neris — ground truth desconocido. DEBT-FD-001 confirmado a escala.
